PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,40ad3ab0-35ea-11f1-b827-d5b90d0371bf,,,,,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,,,,,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,c7e81a96-7361-48e2-a488-faf0b9f34c3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4/11/26,06:09.5,1,2,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.25532,-1.589643,-1.152689,2375.636414,192.595127,12:30,5.57655,0.98459,6.53943,-13.01674,19.07395,4.02937,3.0331,0.26296,84.08062,-4.129305,-0.420792,0.407719,,,,,,,,,,,,-2.45201,10.7919,-0.90634,50,5.46047,2.53807,-134.08164,-4.02681,-4.44768,29.96368,-12.59854,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,43169990-35ea-11f1-b827-d5b90d0371bf,92.44712,,,8.17471,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,06:09.5,2026-04-11T17:06:09.5305728-04:00,2026-04-11T21:06:09.5305728Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,dd13f0ec-a583-47f8-b789-4f7499d94127,53.96133,-134.96398,14.98184,5.57359,-3.65582,-6.29927,-0.98301,2.66905,-2.22384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,4/11/26,06:25.5,1,3,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.23177,-2.346815,-0.942415,2510.891721,206.0051,12:45,5.54417,1.21429,6.73954,-12.75194,18.94375,8.76552,2.33567,1.08356,84.60242,-4.830157,0.65622,0.405202,,,,,,,,,,,,-4.88866,10.95473,-1.15527,50,5.38419,1.86848,-134.11049,-5.78075,-8.92695,28.28371,-12.17013,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,4c9af880-35ea-11f1-b827-d5b90d0371bf,93.0214,,,7.62935,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,06:25.5,2026-04-11T17:06:25.4957568-04:00,2026-04-11T21:06:25.4957568Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,22562fd0-fb46-4fe7-bb50-a27db11c7486,53.76178,-134.90151,14.14185,5.5411,-5.44038,-6.08507,-1.21101,2.11814,-4.46347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,4/11/26,06:39.0,1,4,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,93.67639,-2.353997,-1.237342,2429.349686,213.491471,1:00,5.53461,0.95857,6.4778,-15.65241,15.51906,9.60839,2.06686,0.62285,85.62492,-5.35253,0.506619,0.401837,36.11094,-66.563211,16.560246,,,,,4.1865,3.73308,-7.131328,0.035655,-5.43662,9.12591,-0.87573,50,5.36183,2.56011,-136.12206,-6.03194,-10.17747,30.51206,-15.09015,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,54a895f0-35ea-11f1-b827-d5b90d0371bf,93.8003,1.7496,,8.05147,,,,3.42712,1.7496,-0.73591,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,06:39.0,2026-04-11T17:06:39.0015488-04:00,2026-04-11T21:06:39.0015488Z,GroundBall,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,c982e854-5e06-4aa3-b125-6fc7ac5586a1,54.02467,-137.02123,15.25603,5.53303,-5.58724,-7.54508,-0.9556,2.86004,-5.08873,,3.42598,20.38944,,,,,,,,1.75234,-49.06973,,,,,,,,-0.73624,6.06296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,4/11/26,07:16.7,2,1,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.69883,-0.925737,-1.257242,2284.01636,209.702248,1:00,5.60359,1.10755,6.39699,-19.06218,13.60056,7.15512,3.16339,0.54733,83.58215,-4.556088,0.03923,0.411337,,,,,,,,,,,,-4.08492,7.67985,-1.02033,50,5.52822,2.63132,-133.25261,-2.70637,-7.31824,29.59666,-18.4154,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,6b267d60-35ea-11f1-b827-d5b90d0371bf,91.63396,,,8.11668,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,07:16.7,2026-04-11T17:07:16.7163392-04:00,2026-04-11T21:07:16.7163392Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,94cc5b4c-7855-47fa-bbf0-da673316ba2e,54.10286,-134.1608,14.79833,5.6026,-2.14129,-9.2077,-1.10452,2.85588,-3.65912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,4/11/26,07:47.9,2,2,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,0,1,ChangeUp,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.8443,0.108293,-2.66758,965.531745,282.506726,3:30,5.52823,1.08919,6.01965,-40.30223,0.21839,4.67736,2.27013,-0.99377,76.0788,-7.324857,-1.826342,0.458152,,,,,,,,,,,,-3.21701,0.3039,-0.88278,50,5.51413,5.43794,-120.34805,-1.0533,-4.71049,23.71049,-31.72906,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,7dc04cd0-35ea-11f1-b827-d5b90d0371bf,82.27067,,,6.7655,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,07:47.9,2026-04-11T17:07:47.9304192-04:00,2026-04-11T21:07:47.9304192Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,67f73d0a-9d7a-473c-8bcc-e91d1645ee56,54.48488,-121.22842,11.85525,5.53137,0.1248,-15.86453,-1.08794,5.61284,-2.35524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,4/11/26,08:16.8,2,3,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,0,2,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,82.99818,-1.128803,-2.577669,1078.596914,260.210646,2:45,5.57703,1.29246,5.86648,-37.76167,3.16673,10.35741,1.38041,-0.2406,75.74012,-8.093817,-0.718472,0.460451,,,,,,,,,,,,-6.1739,2.27996,-1.08988,50,5.46319,5.02911,-120.42266,-3.60061,-8.98246,25.39689,-28.85692,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,8ef97ad0-35ea-11f1-b827-d5b90d0371bf,81.85975,,,7.25806,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,08:16.8,2026-04-11T17:08:16.7735808-04:00,2026-04-11T21:08:16.7735808Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,0e1bc664-1ae8-4d32-9386-52289ccc801e,54.6365,-121.39655,12.69845,5.58005,-2.49404,-14.42846,-1.28933,5.37356,-4.49123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,4/11/26,08:54.4,2,4,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.13074,-3.146883,-1.931383,2433.604818,208.890047,1:00,5.60423,1.0121,6.23673,-12.26261,20.38474,10.65064,1.67477,0.11728,83.99712,-5.532392,-0.008532,0.41124,,,,,,,,,,,,-6.1487,11.86477,-0.87345,50,5.36322,4.07832,-133.67287,-7.65897,-11.0816,29.86926,-10.79054,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,a562efe0-35ea-11f1-b827-d5b90d0371bf,91.65557,,,8.13361,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,08:54.4,2026-04-11T17:08:54.4343040-04:00,2026-04-11T21:08:54.4343040Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,51b3818c-ba44-43bb-b441-0a605a4e8697,54.26567,-134.62266,14.93463,5.6013,-7.31585,-5.39527,-1.00874,4.4307,-5.5408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,4/11/26,09:14.4,2,5,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,2,2,ChangeUp,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.25374,-0.271247,-2.523304,1163.250833,277.124698,3:15,5.57952,1.16208,5.84115,-41.13006,0.23323,8.39941,1.89967,-0.48466,75.61591,-7.826221,-1.016564,0.462891,103.64514,17.105536,45.1578,3418.184664,70.24518,28.05172,84.64995,288.75572,171.13899,61.914644,2.984276,-5.04981,0.50283,-0.96158,50,5.53281,4.94639,-119.4587,-1.91842,-7.29374,23.11012,-31.44776,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,b15604e0-35ea-11f1-b827-d5b90d0371bf,81.4283,32.59979,,6.63784,,,,3.14161,2.00128,0.78665,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,09:14.4,2026-04-11T17:09:14.4288256-04:00,2026-04-11T21:09:14.4288256Z,LineDrive,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,e498ba48-19e2-46c1-a38f-0b6cc21e5013,54.66233,-120.35728,11.55506,5.58363,-0.69565,-15.72388,-1.15942,5.22999,-3.64687,,3.14214,102.42647,-34.46346,8.45642,-1.66893,0.23187,-0.02427,0.00244,-0.00019,2.00103,44.72394,-17.55781,1.09293,-0.27166,0.12012,-0.03432,0.00541,-0.00035,0.78633,103.03301,-6.02176,-0.49745,0.22378,0.01034,-0.01911,0.00396,-0.00027,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,4/11/26,09:38.4,2,6,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.85369,-0.94511,-0.373596,2406.695367,214.275449,1:15,5.54197,1.10883,6.30778,-15.79788,16.62068,10.66312,3.35469,1.65324,84.28705,-3.965843,1.555346,0.409796,,,,,,,,,,,,-5.62949,9.19217,-1.08621,50,5.46481,0.43086,-133.58545,-2.63994,-10.21382,27.68239,-15.49637,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,bf9071d0-35ea-11f1-b827-d5b90d0371bf,91.97844,,,7.56664,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,09:38.4,2026-04-11T17:09:38.3719424-04:00,2026-04-11T21:09:38.3719424Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,a3f0d31c-43da-4412-8ed6-659d3cc43a68,54.19306,-134.45156,13.8412,5.53982,-2.15511,-7.74819,-1.10469,0.75042,-5.10691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,4/11/26,09:57.0,2,7,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Lyons, Trenton",806150,Left,KEN_OWL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,90.7891,-0.366682,-2.050018,2403.061428,196.148637,12:30,5.59703,1.09708,6.61669,-18.77147,14.01871,3.77748,3.69669,-0.46648,83.37047,-3.946445,-1.363337,0.412139,80.48252,5.791489,41.856469,2559.162023,,,,89.04131,85.99465,44.743036,0.831356,-2.54378,7.78882,-0.95924,50,5.56412,4.58389,-132.05592,-1.36187,-4.51166,26.96523,-18.35971,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,cab7f970-35ea-11f1-b827-d5b90d0371bf,91.45569,5.18078,,7.41863,,,,1.92621,3.4594,0.74682,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,09:57.0,2026-04-11T17:09:57.0205184-04:00,2026-04-11T21:09:57.0205184Z,GroundBall,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,2d75f473-b7fd-416b-a45a-56f5135ee264,53.88534,-132.84692,13.48262,5.59616,-0.8233,-9.17986,-1.09565,4.71624,-2.25583,,1.99931,86.26621,-15.24954,,,,,,,3.51531,10.99353,-18.38363,,,,,,,0.74132,78.45938,-4.7544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
12,4/11/26,11:58.5,3,1,"Sierra, Enrique",1000178222,Right,FLO_PAN,"McGee, James",10071772,Right,KEN_OWL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.49151,-1.968478,-1.353816,2325.629726,208.667394,1:00,5.61562,1.00277,6.08063,-17.70273,16.15847,8.24839,2.31789,0.43732,82.81747,-5.325921,0.131902,0.418815,,,,,,,,,,,,-4.61693,9.19847,-0.90237,50,5.45388,2.75928,-131.41443,-5.03931,-8.07886,27.68536,-16.07828,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,131e8530-35eb-11f1-b827-d5b90d0371bf,89.99776,,,7.67404,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,11:58.5,2026-04-11T17:11:58.5128960-04:00,2026-04-11T21:11:58.5128960Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,dd8cbd0a-58a7-4a3f-8efb-87e8c0326522,54.41957,-132.34224,13.84268,5.61373,-4.50049,-8.03914,-0.99937,3.03002,-4.03943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,4/11/26,12:16.6,3,2,"Sierra, Enrique",1000178222,Right,FLO_PAN,"McGee, James",10071772,Right,KEN_OWL,Undefined,1,Top,0,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.32607,-0.325729,-1.742648,2509.660051,86.96146,9:00,5.40484,1.28405,5.64543,-42.02325,0.91776,-9.42461,1.59892,-1.12742,74.33785,-8.027708,-3.427256,0.471637,,,,,,,,,,,,4.28351,0.94815,-1.12984,50,5.35032,3.95967,-118.01993,-2.08122,5.9892,24.27865,-30.84834,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,1de464d0-35eb-11f1-b827-d5b90d0371bf,79.91841,,,6.98822,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,12:16.6,2026-04-11T17:12:16.5605376-04:00,2026-04-11T21:12:16.5605376Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,f5bde1e5-08b0-4d11-90e4-1d6f58fa22fc,54.85625,-119.01474,12.13933,5.4097,-0.81721,-15.42417,-1.28706,3.71427,2.9946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
14,4/11/26,12:36.4,3,3,"Sierra, Enrique",1000178222,Right,FLO_PAN,"McGee, James",10071772,Right,KEN_OWL,Undefined,1,Top,0,0,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.64673,-0.199949,-1.392069,2537.526156,95.588431,9:15,5.38239,1.36714,5.61747,-40.7612,2.20445,-10.32036,1.79896,-0.79237,74.891,-7.637964,-3.235813,0.471772,,,,,,,,,,,,4.92705,1.50102,-1.24133,50,5.33868,3.24412,-117.25967,-1.76856,6.924,20.23494,-30.06465,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,29c52a50-35eb-11f1-b827-d5b90d0371bf,79.89548,,,5.75573,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,12:36.4,2026-04-11T17:12:36.4141568-04:00,2026-04-11T21:12:36.4141568Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,5c0deaa8-3e61-4bbd-9275-aa17b18219a3,54.88623,-118.09985,10.11747,5.38619,-0.52024,-15.03232,-1.37006,2.95663,3.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
15,4/11/26,13:11.5,4,1,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Chirello, Jackson",823774,Left,KEN_OWL,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.97215,0.625539,-0.204766,2489.632525,110.459123,9:45,5.26634,1.50943,5.68571,-39.56203,4.12776,-7.66603,2.55261,0.67973,73.83342,-6.641184,-1.576367,0.475731,,,,,,,,,,,,3.84906,2.32504,-1.48729,50,5.29407,0.71031,-116.25624,-0.02219,5.30293,20.43257,-28.9708,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,3ea196c0-35eb-11f1-b827-d5b90d0371bf,79.23057,,,6.13873,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,13:11.5,2026-04-11T17:13:11.4582528-04:00,2026-04-11T21:13:11.4582528Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,32565cd6-d6fe-439f-afc9-b6d25b190333,54.81632,-117.09967,10.21629,5.27031,1.17369,-14.4854,-1.51209,0.49141,2.65146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
16,4/11/26,13:28.3,4,2,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Chirello, Jackson",823774,Left,KEN_OWL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.71551,-3.204627,-1.002436,2458.386719,188.350911,12:15,5.60428,1.03998,6.30479,-15.55757,16.83485,2.33532,1.35181,0.31094,84.88809,-6.151954,-0.579952,0.409631,,,,,,,,,,,,-1.47902,9.88815,-0.96757,50,5.36127,2.24149,-133.29481,-7.9094,-2.68973,25.75079,-14.19155,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,489ef640-35eb-11f1-b827-d5b90d0371bf,92.01552,,,6.82742,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,13:28.3,2026-04-11T17:13:28.3066880-04:00,2026-04-11T21:13:28.3066880Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,2edb04a4-031c-4997-9407-a3ca759fc729,54.19877,-134.1035,12.8754,5.60266,-7.46372,-7.09577,-1.03929,2.32596,-1.34487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
17,4/11/26,13:44.8,4,3,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Chirello, Jackson",823774,Left,KEN_OWL,Undefined,1,Top,1,1,1,ChangeUp,Splitter,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.74395,0.175173,-2.288892,1239.336675,310.852468,4:15,5.64847,1.09267,5.96539,-43.49069,-3.2861,5.06311,2.1868,-0.60887,76.93871,-7.79053,-1.378316,0.456362,,,,,,,,,,,,-3.18736,-1.46347,-0.914,50,5.63757,4.62237,-120.35899,-1.06324,-4.73012,20.8031,-34.34586,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,529b4450-35eb-11f1-b827-d5b90d0371bf,82.59332,,,5.80524,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,13:44.8,2026-04-11T17:13:44.8242176-04:00,2026-04-11T21:13:44.8242176Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,26084ab3-b54b-4d89-8440-ab687cb23611,54.53947,-121.14106,10.40155,5.65327,0.22795,-17.17293,-1.09112,4.8002,-2.36506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
18,4/11/26,14:05.5,4,4,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Chirello, Jackson",823774,Left,KEN_OWL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.77341,1.257415,-1.210119,1302.233608,319.950795,4:45,5.52729,1.22221,6.00225,-44.25479,-3.54768,3.81158,3.00495,0.41839,76.57129,-6.848535,-0.524077,0.459205,,,,,,,,,,,,-2.23032,-1.79626,-1.12913,50,5.60155,2.37465,-119.09133,1.17002,-3.27302,18.18774,-34.81008,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,5ed107a0-35eb-11f1-b827-d5b90d0371bf,82.08194,,,5.20212,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,14:05.5,2026-04-11T17:14:05.4822912-04:00,2026-04-11T21:14:05.4822912Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,49e3dbc6-4a13-4184-bb7d-83088d205f5d,54.50293,-119.77705,9.09387,5.5327,2.48244,-17.40504,-1.22098,2.49805,-1.63651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
19,4/11/26,14:34.6,5,1,"Sierra, Enrique",1000178222,Right,FLO_PAN,"Alig, Wesley",10103646,Right,KEN_OWL,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.42253,0.005618,-3.138849,2486.0564,107.594025,9:30,5.29998,1.31982,5.62095,-39.73077,4.04107,-8.45591,1.99433,-2.31711,73.88202,-7.27349,-4.64508,0.476177,,,,,,,,,,,,3.39685,2.4724,-1.04626,50,5.27499,6.72859,-116.63214,-1.30407,4.67249,22.22045,-28.77318,FLO_PAN,KEN_OWL,FIUBaseballStadium,D1,CUSA,20260411-FIUBaseballStadium-2,703b7ed0-35eb-11f1-b827-d5b90d0371bf,79.15629,,,6.54051,,,,,,,fe62615a-2294-45ac-b418-68173bc05942,4/11/26,14:34.6,2026-04-11T17:14:34.5914368-04:00,2026-04-11T21:14:34.5914368Z,,v3,4468,471506,15324,"Sammler, Caden",1000150746,Right,FLO_PAN,3e9c836f-51d5-49e8-a2c7-7cb5955bb6b9,54.87979,-117.55815,11.11022,5.30435,-0.10498,-14.38659,-1.32261,6.53387,2.33625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
